NO,테이블명_영문,테이블명_한글,도메인,세부그룹
38,CUS_CNS_SPC,상담내역,고객,고객상담/출력
39,CUS_CR_NCTLT_MAIL_RCV_AGRE,계약안내문매일수신동의,고객,고객동의/정보관리
40,CUS_CRDIS_DEADR_INFO,신용정보회사만자정보,고객,고객주소/연락처
41,CUS_CTM,고객,고객,고객기본정보
42,CUS_CTM_ADR_CRR,고객주소이력,고객,고객주소/연락처
43,CUS_CTM_CNO_INFO_ADM,고객접속정보관리,고객,고객기본정보
44,CUS_CTM_CNTAD,고객연락처,고객,고객연락처
45,CUS_CTM_CNTAD_ER_DJ,고객연락처유류대상,고객,고객연락처
46,CUS_CTM_INAGR_ADM_CRR,고객정보동의이력관리,고객,고객동의/정보관리
47,CUS_CTM_RMRK_SET,고객약관설계,고객,고객기본정보
48,CUS_CTM_INFO_INQ_LMIT_CRR,고객정보조회제한이력,고객,고객기본정보
49,CUS_CTM_INFO_JB_CRR,고객정보이력,고객,고객기본정보
50,CUS_CTM_REL,고객관계,고객,고객기본정보
51,CUS_CTM_CTMNM_CH_CRR,고객계약변경이력,고객,고객기본정보
52,CUS_ELEC_MDM_SS_AGRE,전자매체발동동의,기타,-
53,CUS_FN_CLM_ATPS,금융사고의자,사고/손해(클레임),사고접수/조사
54,CUS_JB,직업,기타,-
55,CUS_PRNOT_IS,출력물발급,공통/마스터,공통기타
56,CUS_PSN_CRDIF_UTAGR_CRR,개인신용정보활동동의이력,고객,고객동의/정보관리
57,CUS_PSN_CRDIF_INQ_DMISTR_NSCAN,개인신용정보조회미스터이력,고객,고객동의/정보관리
58,CUS_PSS_CTM_CRDIF_AGRE_CRR,가망고객신용정보동의이력,고객,고객동의/정보관리
59,CUS_PSTNO_BA_ADR,우편번호기본주소,고객,고객주소/연락처
60,CUS_PSTNO_BAADR_SCT_ID,우편번호기본주소구구ZID,고객,고객주소/연락처
61,CUS_PSTNO_RODNM_BA_ADR,우편번호도로명기본주소,고객,고객주소/연락처
62,CUS_RGS_DL_RST,등기처리결과,고객,고객기본정보
63,CUS_RGS_CR,리스트고객,고객,고객기본정보
64,DCL_LTINS_FIME_GOC,장기보험청조직정보봉계약그룹,조직/인사,조직기타
65,E_SFA_BZ_FML_CTM_AGR,영업가족고객정보동의,고객,영업가족고객
66,E_SFA_CMPG_CMP_OF_TRGT_CTM,캠페인사제공타겟고객,영업/채널(SFA),SFA캠페인
67,E_SFA_CMPG_TRGT_CND,캠페인타겟조건,영업/채널(SFA),SFA캠페인
68,E_SFA_CMPG_TRGT_CTM,캠페인타겟고객,영업/채널(SFA),SFA캠페인
69,E_SFA_CMPG_TRGT_GD,캠페인타겟상품,상품/담보,상품기본
70,E_SFA_CMPG_TRGT_LTRM_PL_LIST,캠페인타겟장기설계명세,영업/채널(SFA),SFA캠페인
71,E_SFA_CORE_CTM_CRST,핵심고객현황,영업/채널(SFA),고객SFA
72,E_SFA_CORE_CTM_PLY_LIST,핵심고객리스트,영업/채널(SFA),고객SFA
73,E_SFA_CR_INR_LTRM_SNG_CR,자동차통합장기단독계약,영업/채널(SFA),자동차SFA
74,E_SFA_CR_INR_TRGT_CTM,자동차통합타겟고객,영업/채널(SFA),자동차SFA
75,E_SFA_CR_INR_TRGT_CTM_WRK,자동차통합타겟고객,영업/채널(SFA),자동차SFA
76,E_SFA_CR_INR_TRGT_RNW_PRDN,자동차통합타겟갱신사전예측,영업/채널(SFA),자동차SFA
77,E_SFA_CR_LEVE_CR,자동차이탈계약,영업/채널(SFA),자동차SFA
78,E_SFA_CR_TRGT_CTM,자동차타겟고객,영업/채널(SFA),자동차SFA
79,E_SFA_CRM_LTRM_NRDPS,CRM장기피보험자,영업/채널(SFA),자동차SFA
80,E_SFA_CRM_TRGT_CTM_ANAL,CRM타겟고객분석,영업/채널(SFA),자동차SFA
81,E_SFA_CRP_CTM_INFO,법인고객정보,고객,고객기본정보
82,E_SFA_CTM_ACM_CVR,고객누적담보,상품/담보,담보
83,E_SFA_CTM_INFO,고객정보,고객,고객기본정보
84,E_SFA_CTM_INS_CR,고객계약예약,고객,고객기본정보
85,E_SFA_DALY_ESSN_TOU_CTM,데일리필수터치고객,영업/채널(SFA),SFA기타
86,E_SFA_IC_INV_MTHY_AV,소득면담별월실적,영업/채널(SFA),SFA기타
87,E_SFA_LTCR_RLTN_TRGT_CTM,장기자동차연계타겟고객,영업/채널(SFA),우수고객관리
88,E_SFA_LTCR_XLCL_CTM,장기우량고객,영업/채널(SFA),우수고객관리
89,E_SFA_REC_TRGT_CTM,추천타겟고객,영업/채널(SFA),SFA기타
90,E_SFA_TOU_TRGT_CTM,터치타겟고객,영업/채널(SFA),SFA기타
91,E_SFA_VIS_TOU_CMOTG_CTM,방문터치회사제공타겟고객,영업/채널(SFA),방문활동
92,E_SFA_VIS_TRGT_CTM,방문터치타겟고객,영업/채널(SFA),방문활동
93,FIN_ACC_LDG,계정원장,재무/정산,계정원장
94,FIN_BNC_DP_LDG,방카예금플랜,재무/정산,예금/방카
95,FIN_CRD_LDG,카드원장,재무/정산,카드원장
96,FIN_DP_LDG,예금원장,재무/정산,예금/방카
97,FIN_DT_ADM,연말일관리,재무/정산,재무기타
98,FIN_NP_ACC_LDG,미지금계정원장,재무/정산,재무기타
99,FIN_PRM_RV_SB,보험료수납대기,재무/정산,수입보험료/수납
100,FIN_PY_CR,지급발생,재무/정산,지급
101,FIN_PY_ST,지급정지,재무/정산,지급
102,FIN_SLP,전표,재무/정산,전표
103,FIN_SLP_SPC,전표내역,재무/정산,전표
104,GEA_ITM,품목,상품/담보,품목
105,IGD_ACM_RK,누적위험,상품/담보,상품기본
106,IGD_CLM_CVR,사고담보,상품/담보,상품기본
107,IGD_CLM_TP,사고유형,사고/손해(클레임),사고접수/조사
108,IGD_CLMCV_DSAS,사고담보장채명,상품/담보,상품기본
109,IGD_CR_ATR_META,계약속성정보메타,계약/보험계약,일반계약
110,IGD_CRDIS_CVR_MPP,신용정보원담보매핑,상품/담보,담보
111,IGD_CVR,담보,상품/담보,담보
112,IGD_GD,상품,상품/담보,상품기본
113,IGD_GD_AP_NC_MTT,상품적용앞일사항,상품/담보,상품기본
114,IGD_GD_CLM_CVR,상품사고담보,상품/담보,상품기본
115,IGD_GD_CLM_CVR_CCBSC,상품사고담보생산출관거,상품/담보,상품기본
116,IGD_GD_CSF,상품분류,상품/담보,상품기본
117,IGD_GD_CVR,상품담보,상품/담보,담보
118,IGD_GD_CVR_ACM_RK,상품담보누적위험,상품/담보,담보
119,IGD_GD_SI_CHN_REL,상품판매채널관계,상품/담보,상품기본
120,IGD_GD_SI_TRM,상품판매기간,상품/담보,상품기본
121,IGD_GD_US_ATR,상품사용속성,상품/담보,상품기본
122,IGD_INS_ITM_PST_CSF,보험종목소속분류,상품/담보,상품기본
123,IGD_INS_ITM_USE_CSF,보험종목사용도분류,상품/담보,상품기본
124,IGD_LTRM_CHC_RATIO,장기변동이율,상품/담보,장기상품
125,IGD_LTRM_CVR_RISK_CSF,장기담보리스크분류,상품/담보,담보
126,IGD_LTRM_FX_RATIO,장기고정이율,상품/담보,장기상품
127,IGD_LTRM_GD_RATIO_ADM,장기상품이율관리,상품/담보,장기상품
128,IGD_LTRM_MAIN_CVR_ATR,장기주요담보속성,상품/담보,담보
129,IGD_NC_MTT_QUSDC_IT,알림사항질문문서항목,기타,-
130,IGD_NC_MTT_QUIST_IT,알림사항질문항목,기타,-
131,IGD_NC_NLISR_ASSO_CVR_CN,손보협회담보내용,상품/담보,담보
132,IGD_RIS_GD_MPP,재가입상품샘플관리,상품/담보,상품기본
133,IGD_SIIS_TPCL_GD_ADM,간판고지유형별상품관리,상품/담보,상품기본
134,INS_AUTO_TF_RQ,자동이체신청,기타,-
135,INS_AUTO_TF_SCHD,자동이체일정,기타,-
136,INS_AUTO_TF_SPC,자동이체파회,기타,-
137,INS_AUTO_TRFRQ,배치관련업무,기타,-
138,INS_BATCH_BZDY,설계전달발생알림사항,기타,-
139,INS_BFPL_DSAS_NC_MTT,설계전달발생알림사항,기타,-
140,INS_BFPL_NC_MTT,설계전달알림사항,기타,-
141,INS_BN,업종,상품/담보,상품기본
142,INS_BSCRL_CLM_DA,업계사고자료,사고/손해(클레임),사고접수/조사
143,INS_CARG_NTN,착하국가,자동차보험,자동차기타
144,INS_CARG_NTN_CTY,착하국가도시,자동차보험,자동차기타
145,INS_CARNM_INFO,자동정보,자동차보험,자동차기타
146,INS_CLA_LN_AVAMT_CLC,약관대출가능금액산정,계약/보험계약,일반계약
147,INS_CM_MTD,수금방법,상품/담보,상품기본
148,INS_CMINS_CLM_CVR_CLS,일반보험계약담보마감,계약/보험계약,일반보험계약
149,INS_CMINS_INS_CR_CLG,일반보험계약담보산출,계약/보험계약,일반보험계약
150,INS_CMINS_INS_RE_CLS,일반보험재사고계약마감,계약/보험계약,일반보험계약
151,INS_CMINS_PTNTI_PF_DA,일반보험장재수익기조자료,계약/보험계약,일반보험계약
152,INS_CMPG_CR_INFO,캠페인계약정보,캠페인/CRM,캠페인기본
153,INS_CMPG_CTM_BJ,캠페인고객대상,캠페인/CRM,캠페인기본
154,INS_CMPG_RST,캠페인결과,캠페인/CRM,캠페인기본
155,INS_CONDT,공동인수,계약/보험계약,일반계약
156,INS_CR_AD_ATRVL,계약속성조건값,계약/보험계약,일반계약
157,INS_CR_ATND_RDCH_DT,계약의승한채세,계약/보험계약,일반계약
158,INS_CR_AD,보험계약보험자,계약/보험계약,일반계약
159,INS_CR_CR_INFO,계약자동처지정보,계약/보험계약,일반계약
160,INS_CR_DH_STF_CRR,계약담당직원이력,계약/보험계약,일반계약
161,INS_CR_INCM_PRM,자동차담보보유수입보험료,계약/보험계약,일반계약
162,INS_CR_MILXC_RST_INFO,계약하다리자청산관련정보,계약/보험계약,일반계약
163,INS_CR_NDS_DT,계약배서마감,계약/보험계약,일반계약
164,INS_CR_NDS_MSTR,계약배서마스터,계약/보험계약,일반계약
165,INS_CR_OI,승인,계약/보험계약,일반계약
166,INS_CR_PY_LMIT,계약지급제한,계약/보험계약,일반계약
167,INS_CR_RELPC_ADR_CRR,계약관계자주소이력,계약/보험계약,계약관계자
168,INS_CR_RELPC_REL,계약관계자관계,계약/보험계약,계약관계자
169,INS_CR_ADM,자동차계산관리,계약/보험계약,일반계약
170,INS_CR_RNW_ADM,자동이체자사용료,계약/보험계약,일반계약
171,INS_CR_SCP_RT,계약상담이력,계약/보험계약,일반계약
172,INS_CR_ST_CRR,계약상태이력,계약/보험계약,일반계약
173,INS_CR_UD4TK_ATPS,계약전달알림사항,계약/보험계약,일반계약
174,INS_CRBE_NC_MTT,계약전달알림사항,계약/보험계약,일반계약
175,INS_CRDIF_INQ_AGR_ADM,신용정보조회동의관리,기타,-
176,INS_CRDIS_CRDIF_DT,신용정보사신용정보발생세,기타,-
177,INS_CRDIS_OTCM_CRINF,신용정보원이자정보,기타,-
178,INS_CVR_AD_ATRVL,담보주기속성값,상품/담보,담보
179,INS_CVR_INCM_PRM,담보수입보험료,상품/담보,담보
180,INS_CVR_INCM_PRM_DISS,담보수입보험료분배,상품/담보,담보
181,INS_CVR_INCM_PRM_PYM_PR,담보수입보험납입예정,상품/담보,담보
182,INS_DCN_PRM,확정보험료,재무/정산,재무기타
183,INS_DMCY_IBNF_MMCLS,표면보험금마감,사고/손해(클레임),IBNR/준비금
184,INS_DVPNS_CR_RGT_ADM,개발원자동등록관리,기타,-
185,INS_DVPNS_RNWRT_DA,개발원갱신자동자료,기타,-
186,INS_DVPNS_TLM_INQ_ADM,개발원문의조회관리,기타,-
187,INS_DVPNS_US_OI_LOG,개발원이용문의적로그,기타,-
188,INS_EMEG_MVO_SRV,긴급동원서비스,기타,-
189,INS_GD_CE_PL,상품조건금,상품/담보,상품기본
190,INS_GD_CE_PL_CVR,상품조건담보,상품/담보,담보
191,INS_GD_CVRCL_CMN_INFO,상품담보공통정보,상품/담보,담보
192,INS_HGRK_GRP_BJ_CR,건강보험대상계약,기타,-
193,INS_HLT_INFO_DT_RST,IBN R,사고/손해(클레임),IBNR/준비금
194,INS_IBNR,IBNR,사고/손해(클레임),IBNR/준비금
195,INS_ICPS_CRINS_CLM,ICPS자동차사고,사고/손해(클레임),사고접수/조사
196,INS_ICPS_DT_INQ,ICPS사고조회,사고/손해(클레임),사고접수/조사
197,INS_ICPS_PY_DAT_INQ,ICPS자금데이터조회,사고/손해(클레임),지급/보험금
198,INS_IDM_BND,구상재권,사고/손해(클레임),지급/보험금
199,INS_INCM_PRM,수입보험료,재무/정산,수입보험료/수납
200,INS_INPRM_DH_STF,수입보험료담당직원,조직/인사,조직기타
201,INS_INS_CR,보험계약,계약/보험계약,일반계약
202,INS_INS_CR_BLD,보험계약건물,계약/보험계약,일반계약
203,INS_INS_CR_BLD_STR,보험계약건물구조,계약/보험계약,일반계약
204,INS_PL,보험설계,기타,-
205,INS_LTRM_CLG,장기산출,재무/정산,재무기타
206,INS_LTRM_DMCY_IBNF,장기표면보험금,사고/손해(클레임),사고접수/조사
207,INS_LTRM_LBTRS_ADM_ATR,장기대상적관리속성,기타,-
208,INS_LTRM_RDCH_CR,장기수령결과,기타,-
209,INS_MDCS_TRT_CR_INQ,의료비특약계약조회,기타,-
210,INS_MDCS_TRT_CVR_INFO,의료비특약담보정보,상품/담보,담보
211,INS_MW_WLAMT_SPY_RQ,중도인출금분할지급신청,재무/정산,재무기타
212,INS_NLISR_ASSO_TLM_INQ,손보협회전문상담문의,기타,-
213,INS_NRDPS_TISRD_ATR,피보험자보호자부자속성,기타,-
214,INS_OI_LCTN,목적물소재지,계약/보험계약,계약관계자
215,INS_OI_RELPC,목적물관계자,계약/보험계약,계약관계자
216,INS_PL_CR_INFO,설계자동차정보,상품/담보,설계상품
217,INS_PL_CVR,설계정보,상품/담보,담보
218,INS_PL_DH_STF,설계자금직원,상품/담보,설계상품
219,INS_PL_NRDPS_TISRD_ATR,설계피보험자부자속성,상품/담보,설계상품
220,INS_PL_OI_AD_ATRVL,설계목적물후가속성값,상품/담보,설계상품
221,INS_PL_PRM_PYM_PR,설계보험료납입예정,상품/담보,설계상품
222,INS_PL_RELPC,설계관계자,상품/담보,설계상품
223,INS_PL_ST_CRR,설계상태이력,상품/담보,설계상품
224,INS_PL_UDRTK_BLTGU_CN,설계인수지위해내용,상품/담보,설계상품
225,INS_PRM_PYM_PR,보험보험료납입예정,계약/보험계약,일반계약
226,INS_PY,지급,재무/정산,지급
227,INS_RINS_RK_NDX_CC,재보험자위험수산출,사고/손해(클레임),사고접수/조사
228,INS_RMIMC_CR_AV_CVR,실손의료비전환가능담보,상품/담보,담보
229,INS_RP_ADM,연수관리,기타,-
230,INS_RVL_ADM,부활관리,계약/보험계약,일반계약
231,INS_SPC_ADM_BJ,특별관리대상,계약/보험계약,일반계약
232,INS_TR_ARE,문송지역,기타,-
233,INS_UD,심사,사고/손해(클레임),심사
234,INS_UD_AS_CRR,심사물결이력,사고/손해(클레임),심사
235,INS_UD_CVR_CSF,심사담보분류,상품/담보,담보
236,INS_UD_CVR_CSF_REL,심사담보분류관계,상품/담보,담보
237,INS_UD_DSAS_CSF,심사담보분류,상품/담보,상품기본
238,INS_UD_DSAS_CSF_REL,심사방생보험분류관계,사고/손해(클레임),심사
239,INS_UD_GD_TPCL,심사상품유형,상품/담보,상품기본
240,INS_UD_GD_TPCL_REL,심사상품유형관계,상품/담보,상품기본
241,INS_UD_WRK_CRR,심사작업이력,사고/손해(클레임),심사
242,INS_UDRTK_XLCL_CTM_GRD,인수우량고객등급,사고/손해(클레임),심사
243,INS_UTATP,제지급대상,재무/정산,재무기타
244,INS_WHPY_BJ,정산통지관계자,재무/정산,재무기타
245,INS_XC_NT_RELPC,정산통지관계자,재무/정산,재무기타
246,LSE_CLM_NV,사고조사,사고/손해(클레임),사고접수/조사
247,LSE_CLM_RCP,사고접수,사고/손해(클레임),사고접수/조사
248,LSE_CLMPS,사고지,사고/손해(클레임),사고접수/조사
249,LSE_CVRCL_DM_RDE,담보별손해감정,상품/담보,담보
250,LSE_CLM_DGN,진단,사고/손해(클레임),사고접수/조사
251,LSE_HSP_PT_ADM,입원환자관리,사고/손해(클레임),사고접수/조사
252,LSE_OP,승인,사고/손해(클레임),사고접수/조사
253,LSE_OTCM_CR,사고계약,사고/손해(클레임),사고접수/조사
254,LSE_RD_TP_DM_RDE,감소유형별손해절감,사고/손해(클레임),사고접수/조사
255,LSE_RMDY_SPC,자료내역,기타,-
256,LSE_STD_DSAS_DERS_CSF,표준활동사례분류,사고/손해(클레임),사고접수/조사
257,LSE_SUM_QBSRT,환산장류을,사고/손해(클레임),사고접수/조사
258,LSE_XI_CC_CRR_INFO,주산지급계약정보,재무/정산,재무기타
259,LSE_XI_PY,주산지급,재무/정산,재무기타
260,LSE_XI_PY_SPC,주산지급내역,재무/정산,재무기타
261,LTRM_PRDT_GRD,장기생산성등급,조직/인사,조직기타
262,M_BIZ_GD_CSF_INFO,Biz상품분류정보,상품/담보,상품기본
263,M_BIZ_MTHY_MKTG_CHN_ORGN,Biz월별마케팅채널조직,캠페인/CRM,CRM기타
264,M_BIZ_MTHY_PS_CR,Biz월별보유고객,기타,-
265,M_CCR_CR_CR_CVR,자동차계약담보,계약/보험계약,일반계약
266,M_CCR_CR_CRCL_IRAMT_CR,자동차담당자부담부자동,자동차보험,자동차월별통계
267,M_CCR_CR_CVR_INCM_PRM,자동차담보수입보험료,상품/담보,담보
268,M_CCR_CR_DMGRT_CRST,자동차손해율현황,사고/손해(클레임),사고접수/조사
269,M_CCR_CR_INCM_PRM,자동차수입보험료,재무/정산,재무기타
270,M_CCR_CR_PY_IBNF,자동차지급보험금,사고/손해(클레임),사고접수/조사
271,M_CCR_CR_RNW_CT,자동차갱신건수,자동차보험,자동차월별통계
272,M_CCR_CR_RNWRT_ND_CR,자동차갱신대상미계약,자동차보험,자동차월별통계
273,M_CCR_CR_RNWRT_RNW_CR,자동차갱신대상계약,자동차보험,자동차월별통계
274,M_CCR_DYB_CRINS_STS_DA,일별자동차보험통계자료,자동차보험,자동차월별통계
275,M_CCR_FR_CR_INS_CR,일별자동차보험통계자료,자동차보험,자동차월별통계
276,M_CCR_FR_CRINS_STS_DA,통별자동차보험통계자료,자동차보험,자동차월별통계
277,M_CCR_MTHY_CR_INFO,월별자인수정보,자동차보험,자동차월별통계
278,M_CCR_MTHY_ONL_INS_CR,월별인수전자계약,자동차보험,자동차월별통계
279,M_CCR_MTHY_CRINS_STS_DA,월별자동차보험통계자료,자동차보험,자동차월별통계
280,M_CCR_MTHY_CR_INS_CR,월별자동차보험계약,계약/보험계약,일반계약
281,M_CMP_CR_CLM_CRST,자동차사고현황,사고/손해(클레임),사고접수/조사
282,M_CMP_CR_CLM_CR,자동차사고상담생활,사고/손해(클레임),사고접수/조사
283,M_CMP_CR_CMP_CR,자동차발생생활,자동차보험,자동차사고현황
284,M_CMP_CR_CMP_IMU,자동차발생적적,자동차보험,자동차사고현황
285,M_CMP_CR_CMP_MSTR,자동차발생마스터,공통/마스터,공통기타
286,M_CMP_CR_CMPG_CLM,자동차사고맵발생고건수,사고/손해(클레임),사고접수/조사
287,M_CMP_GN_CVRCL_PY_JBNF_LIST,일반담보지급보험금목록세,상품/담보,담보
288,M_CMP_GN_PY_IBNF_LIST,일반지급보험금목록세,사고/손해(클레임),지급/보험금
289,M_CMP_LSETM_DM_RD_XCPT_BJ,장기소손해액손해절감대상,사고/손해(클레임),사고접수/조사
290,M_CMP_LTRM_INIT_DM_PRVTN_CRST,장기부당보험방지현황,기타,-
291,M_CMS_BZ_ATR_TP_INFO,CMS캠페인대연속보성보유정보,캠페인/CRM,CMS캠페인
292,M_CMS_BZORG_CLS,CMS연속조직마감,캠페인/CRM,CMS캠페인
293,M_CMS_CGI_CTM_MPP,CMS캠페인고객매핑,캠페인/CRM,CMS캠페인
294,M_CMS_CMPG_ALLCT_CLS,CMS캠페인할담마감,캠페인/CRM,CMS캠페인
295,M_CMS_CMPG_CMN_ALLCT_CLS,CMS캠페인공통할당마감,캠페인/CRM,CMS캠페인
296,M_CMS_CMPG_CMN_AS_CLS,CMS캠페인공통배정마감,캠페인/CRM,CMS캠페인
297,M_CMS_CMPG_CMN_CNV_CLS,CMS캠페인공통전환마감,캠페인/CRM,CMS캠페인
298,M_CMS_CMPG_CMN_CR_AV_CLS,CMS캠페인공통계약성사마감,캠페인/CRM,CMS캠페인
299,M_CMS_CMPG_CMN_CVAV_CLS,CMS캠페인공통전환성사마감,캠페인/CRM,CMS캠페인
300,M_CMS_CMPG_CMN_GNANL_CLS,CMS캠페인공통보장분석마감,영업/채널(SFA),SFA기타
301,M_CMS_CMPG_CMN_PL_CLS,CMS캠페인공통설계마감,캠페인/CRM,CMS캠페인
302,M_CMS_CMPG_CMN_RY_CLS,CMS캠페인공통회수마감,캠페인/CRM,CMS캠페인
303,M_CMS_CMPG_CMN_VIS_CLS,CMS캠페인공통방문마감,캠페인/CRM,CMS캠페인
304,M_CMS_CMPG_DB_CRST,CMS캠페인DB현황,캠페인/CRM,CMS캠페인
305,M_CMS_CMPG_GNANL_CRST,CMS캠페인보장분석현황,영업/채널(SFA),SFA기타
306,M_CMS_CMPG_NDV_CVR_DT_INFO,캠페인인별담보상세정보,상품/담보,담보
307,M_CMS_CTM_CLS,CMS고객마감,캠페인/CRM,CMS캠페인
308,M_CMS_CTM_INFLW_CRST,CMS고객유입현황,캠페인/CRM,CMS캠페인
309,M_CMS_CTMCS,CMS고객전환,캠페인/CRM,CMS캠페인
310,M_CMS_CTMCS_CLS,CMS고객전환마감,캠페인/CRM,CMS캠페인
311,M_CMS_INW_CRT_CRST,CMS캠페인고객유입생성현황,캠페인/CRM,CMS캠페인
312,M_CMS_INR_CHN_CMPG_DB_CLS,통합채널캠페인DB마감,캠페인/CRM,CMS캠페인
313,M_CMS_LGSYS_CTM_CMS_MPP,기간계고객CMS매핑,캠페인/CRM,CMS캠페인
314,M_CMS_NW_SFP_CMPG_DB_CLS,신규SFP캠페인DB마감,영업/채널(SFA),SFA기타
315,M_CMS_NW_SFP_TRM_OUT_OU_AV,신규SFP캠페인DB마감,영업/채널(SFA),SFA기타
316,M_CMS_NW_SFP_TRM_OUT_OU_IF,신규SFP기간외성과추적,영업/채널(SFA),SFA기타
317,M_CMS_NW_SFP_TRM_OU_AV,신규SFP기간외성과실적,영업/채널(SFA),SFA기타
318,M_CMS_NW_SFP_TRMIN_OU_IF,신규SFP기간내성과추적,영업/채널(SFA),SFA기타
319,M_CMS_NW_TM_CMPG_DB_CLS,신규TM캠페인DB마감,캠페인/CRM,CMS캠페인
320,M_CMS_NW_TM_TRM_OUT_OU_AV,신규TM기간외성과실적,캠페인/CRM,CMS캠페인
321,M_CMS_NW_TM_TRM_OUT_OU_IF,신규TM기간외성과추적,캠페인/CRM,CMS캠페인
322,M_CMS_NW_TM_TRMIN_OU_AV,신규TM기간내성과실적,캠페인/CRM,CMS캠페인
323,M_CMS_NW_TM_TRMIN_OU_IF,신규TM기간내성과추적,캠페인/CRM,CMS캠페인
324,M_CMS_PLR_CLS,CMS설계자마감,상품/담보,상품기본
325,M_CMS_PREV_SFP_CMPG_DB_CLS,기존SFP캠페인DB마감,영업/채널(SFA),SFA기타
326,M_CMS_PREV_SFP_TRM_OUT_OU_AV,기존SFP기간외성과실적,영업/채널(SFA),SFA기타
327,M_CMS_PREV_SFP_TRM_OUT_OU_IF,기존SFP기간외성과추적,영업/채널(SFA),SFA기타
328,M_CMS_PREV_SFP_TRMIN_OU_AV,기존SFP기간내성과실적,영업/채널(SFA),SFA기타
329,M_CMS_PREV_TM_TRM_OU_IF,기존TM기간내성과추적,캠페인/CRM,CMS캠페인
330,M_CMS_PREV_TM_CMPG_DB_CLS,기존TM캠페인DB마감,캠페인/CRM,CMS캠페인
331,M_CMS_PREV_TM_TRM_OUT_OU_AV,기존TM기간외성과실적,캠페인/CRM,CMS캠페인
332,M_CMS_PREV_TM_TRM_OUT_OU_IF,기존TM기간외성과추적,캠페인/CRM,CMS캠페인
333,M_CMS_PREV_TM_TRMIN_OU_AV,기존TM기간내성과실적,캠페인/CRM,CMS캠페인
334,M_CMS_PREV_TM_TRMIN_OU_IF,기존TM기간내성과추적,캠페인/CRM,CMS캠페인
335,M_CMS_PSS_CTM_CMS_MPP,가망고객CMS매핑,캠페인/CRM,CMS캠페인
336,M_CMS_SFP_CTM_CMS_MPP,SFP고객CMS매핑,영업/채널(SFA),SFA기타
337,M_CMS_TM_CTM_CMS_MPP,TM고객CMS매핑,캠페인/CRM,CMS캠페인
338,M_CMS_TRGT_CTMCS,CMS타겟고객전환,캠페인/CRM,CMS캠페인
339,M_COD_YYMM,년월,기타,-
340,M_CRM_BDL_BJ_CTM_ACT_LIST,일괄담당고객활동리스트,캠페인/CRM,CRM기타
341,M_CRM_BDL_BJ_CTM_LIST,일괄담당고객리스트,캠페인/CRM,CRM기타
